Timestamp	workload	stress	Marker
3.4929e+03	2.0641e+00	1.1714e+00	0.0000e+00	0.0000e+00
3.4930e+03	2.0635e+00	1.1717e+00	0.0000e+00	0.0000e+00
3.4931e+03	2.0612e+00	1.1718e+00	0.0000e+00	0.0000e+00
3.4932e+03	2.0587e+00	1.1720e+00	0.0000e+00	0.0000e+00
3.4933e+03	2.0560e+00	1.1722e+00	0.0000e+00	0.0000e+00
3.4934e+03	2.0538e+00	1.1723e+00	0.0000e+00	0.0000e+00
3.4935e+03	2.0520e+00	1.1724e+00	0.0000e+00	0.0000e+00
3.4936e+03	2.0500e+00	1.1724e+00	0.0000e+00	0.0000e+00
3.4937e+03	2.0483e+00	1.1723e+00	0.0000e+00	0.0000e+00
3.4938e+03	2.0464e+00	1.1724e+00	0.0000e+00	0.0000e+00
3.4939e+03	2.0449e+00	1.1727e+00	0.0000e+00	0.0000e+00
3.4940e+03	2.0437e+00	1.1729e+00	0.0000e+00	0.0000e+00
3.4941e+03	2.0417e+00	1.1731e+00	0.0000e+00	0.0000e+00
3.4942e+03	2.0407e+00	1.1733e+00	0.0000e+00	0.0000e+00
3.4943e+03	2.0396e+00	1.1734e+00	0.0000e+00	0.0000e+00
3.4944e+03	2.0389e+00	1.1734e+00	0.0000e+00	0.0000e+00
3.4945e+03	2.0389e+00	1.1735e+00	0.0000e+00	0.0000e+00
3.4946e+03	2.0394e+00	1.1735e+00	0.0000e+00	0.0000e+00
3.4947e+03	2.0400e+00	1.1736e+00	0.0000e+00	0.0000e+00
3.4949e+03	2.0406e+00	1.1735e+00	0.0000e+00	0.0000e+00
3.4949e+03	2.0416e+00	1.1736e+00	0.0000e+00	0.0000e+00
3.4950e+03	2.0423e+00	1.1736e+00	0.0000e+00	0.0000e+00
3.4951e+03	2.0430e+00	1.1738e+00	0.0000e+00	0.0000e+00
3.4952e+03	2.0444e+00	1.1740e+00	0.0000e+00	0.0000e+00
3.4953e+03	2.0459e+00	1.1742e+00	0.0000e+00	0.0000e+00
3.4954e+03	2.0475e+00	1.1744e+00	0.0000e+00	0.0000e+00
3.4955e+03	2.0489e+00	1.1746e+00	0.0000e+00	0.0000e+00
3.4956e+03	2.0505e+00	1.1749e+00	0.0000e+00	0.0000e+00
3.4957e+03	2.0520e+00	1.1751e+00	0.0000e+00	0.0000e+00
3.4958e+03	2.0531e+00	1.1751e+00	0.0000e+00	0.0000e+00
