Timestamp	workload	arousal	Marker
607706.295	1.869	1.584	0.000
607706.528	1.865	1.583	0.000
607706.736	1.860	1.583	0.000
607706.956	1.858	1.582	0.000
607707.172	1.852	1.582	0.000
607707.176	1.851	1.582	0.000
607707.410	1.850	1.582	0.000
607707.631	1.854	1.581	0.000
607707.880	1.858	1.581	0.000
607708.101	1.858	1.581	0.000
607708.323	1.862	1.580	0.000
607708.541	1.865	1.580	0.000
607708.766	1.866	1.580	0.000
607708.984	1.867	1.580	0.000
607708.992	1.869	1.580	0.000
607709.205	1.870	1.579	0.000
607709.421	1.872	1.579	0.000
607709.658	1.875	1.579	0.000
607709.866	1.878	1.579	0.000
607710.099	1.880	1.579	0.000
607710.333	1.882	1.578	0.000
607710.554	1.885	1.578	0.000
607710.785	1.888	1.578	0.000
607710.995	1.885	1.578	0.000
607711.001	1.881	1.578	0.000
607711.216	1.875	1.578	0.000
607711.450	1.871	1.577	0.000
607711.656	1.866	1.577	0.000
607711.875	1.861	1.577	0.000
607712.110	1.858	1.577	0.000
607712.330	1.859	1.576	0.000
607712.582	1.859	1.576	0.000
607712.588	1.855	1.576	0.000
607712.834	1.853	1.576	0.000
607713.054	1.852	1.575	0.000
607713.277	1.852	1.575	0.000
607713.503	1.851	1.575	0.000
607713.712	1.851	1.574	0.000
607713.933	1.853	1.574	0.000
607714.157	1.853	1.574	0.000
607714.387	1.854	1.573	0.000
607714.393	1.855	1.573	0.000
607714.607	1.854	1.573	0.000
607714.827	1.851	1.573	0.000
607715.068	1.847	1.572	0.000
607715.286	1.843	1.572	0.000
607715.502	1.838	1.571	0.000
607715.734	1.833	1.571	0.000
607715.961	1.827	1.570	0.000
607716.174	1.822	1.570	0.000
607716.183	1.816	1.570	0.000
607716.396	1.813	1.569	0.000
607716.615	1.812	1.569	0.000
607716.855	1.811	1.568	0.000
607717.071	1.809	1.568	0.000
607717.320	1.808	1.567	0.000
607717.518	1.805	1.567	0.000
607717.751	1.803	1.566	0.000
607717.969	1.800	1.566	0.000
607718.191	1.795	1.565	0.000
607718.195	1.792	1.565	0.000
607718.423	1.789	1.565	0.000
607718.644	1.788	1.564	0.000
607718.865	1.786	1.564	0.000
607719.086	1.783	1.563	0.000
607719.313	1.782	1.563	0.000
